video_id,video_link,sign_system_label,primary_county,filename
18352,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260331_081041_216_FH.MP4,Municipal Non-State,Harrison,260331_081041_216_FH.MP4
18469,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260327_123043_093_FH.MP4,Municipal Non-State,Monongalia,260327_123043_093_FH.MP4
2326,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/251014_120048_094_FH.MP4,Municipal Non-State,Wood,251014_120048_094_FH.MP4
25371,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260427_104440_890_FH.MP4,Municipal Non-State,Monongalia,260427_104440_890_FH.MP4
18293,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260331_110751_275_FH.MP4,Municipal Non-State,Harrison,260331_110751_275_FH.MP4
7346,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260310_140104_210_FH.MP4,Municipal Non-State,Kanawha,260310_140104_210_FH.MP4
11171,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260323_110659_257_FH.MP4,Municipal Non-State,Monongalia,260323_110659_257_FH.MP4
2390,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/251016_130219_164_FH.MP4,Municipal Non-State,Wood,251016_130219_164_FH.MP4
21772,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260217_113708_552_FH.MP4,Municipal Non-State,Wood,260217_113708_552_FH.MP4
33092,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260409_055849_805_FH.MP4,Municipal Non-State,Kanawha,260409_055849_805_FH.MP4
20887,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260415_115938_600_FH.MP4,Municipal Non-State,Harrison,260415_115938_600_FH.MP4
30055,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260409_105846_219_FH.MP4,Municipal Non-State,Raleigh,260409_105846_219_FH.MP4
4874,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260212_144417_125_FH.MP4,Municipal Non-State,Kanawha,260212_144417_125_FH.MP4
30060,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260407_090221_214_FH.MP4,Municipal Non-State,Raleigh,260407_090221_214_FH.MP4
20552,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260407_103149_385_FH.MP4,Municipal Non-State,Raleigh,260407_103149_385_FH.MP4
17940,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260402_124159_575_FH.MP4,Municipal Non-State,Marion,260402_124159_575_FH.MP4
14148,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260324_224943_218_FH.MP4,Municipal Non-State,Hancock,260324_224943_218_FH.MP4
12818,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260325_130726_347_FH.MP4,Municipal Non-State,Hancock,260325_130726_347_FH.MP4
28108,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260501_111356_157_FH.MP4,Municipal Non-State,Brooke,260501_111356_157_FH.MP4
15228,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260326_100529_055_FH.MP4,Municipal Non-State,Wetzel,260326_100529_055_FH.MP4
6722,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260223_151236_754_FH.MP4,US Route,Berkeley,260223_151236_754_FH.MP4
6720,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260223_151537_755_FH.MP4,US Route,Berkeley,260223_151537_755_FH.MP4
21584,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260410_124704_938_FH.MP4,US Route,Marion,260410_124704_938_FH.MP4
