video_id,video_link,sign_system_label,primary_county,filename
13892,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260325_135228_263_FH.MP4,Interstate,Wood,260325_135228_263_FH.MP4
16435,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260402_092126_486_FH.MP4,Interstate,Greenbrier,260402_092126_486_FH.MP4
18324,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260331_093446_244_FH.MP4,Interstate,Preston,260331_093446_244_FH.MP4
2268,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/251009_121000_032_FH.MP4,US Route,Jackson,251009_121000_032_FH.MP4
20734,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260414_073606_302_FH.MP4,US Route,Ohio,260414_073606_302_FH.MP4
14666,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260401_065959_005_FH.MP4,US Route,Doddridge,260401_065959_005_FH.MP4
10326,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260304_132844_571_FH.MP4,US Route,Upshur,260304_132844_571_FH.MP4
7088,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260305_143707_623_FH.MP4,WV Route,Fayette,260305_143707_623_FH.MP4
25766,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260421_142457_104_FH.MP4,WV Route,Barbour,260421_142457_104_FH.MP4
12916,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260327_072640_417_FH.MP4,WV Route,Tyler,260327_072640_417_FH.MP4
23685,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260414_122656_280_FH.MP4,WV Route,Nicholas,260414_122656_280_FH.MP4
2481,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/251020_105333_049_FH.MP4,County Route,Jackson,251020_105333_049_FH.MP4
1369,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/251009_085256_013_FH.MP4,County Route,Ritchie,251009_085256_013_FH.MP4
15493,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260320_135748_425_FH.MP4,County Route,Boone,260320_135748_425_FH.MP4
15401,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260326_133800_563_FH.MP4,County Route,Hampshire,260326_133800_563_FH.MP4
13906,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260325_131025_249_FH.MP4,County Route,Wood,260325_131025_249_FH.MP4
26498,https://objectstorage.us-ashburn-1.oraclecloud.com/p/xI2c8lL1sjv13h6U9ebP5HwMmCtABlbJkTGWCLqvQ-v-S1oqJTr2b5aPHNth1jyD/n/idnz0hftfltw/b/wvu_dashcam_videos/o/260430_050311_610_FH.MP4,County Route,Lewis,260430_050311_610_FH.MP4
